char,freq
不,40434
人,34249
一,33904
风,28744
山,27219
无,27027
来,23940
有,22081
花,20714
日,20225
春,19430
天,18603
年,18265
云,17280
何,16986
时,16895
中,16332
自,15848
月,15205
知,15136
水,14755
上,14525
生,14406
得,14114
未,13724
是,13608
如,13469
归,12867
老,12629
相,12240
清,12146
为,12107
事,11997
雨,11957
江,11708
心,11377
去,11354
今,11354
处,11262
诗,11190
此,11055
白,10864
君,10826
三,10797
长,10739
秋,10674
更,10544
家,10515
行,10342
寒,10262
见,10214
千,10208
里,10105
已,9900
明,9751
夜,9709
看,9694
新,9637
万,9567
空,9555
头,9548
青,9453
下,9308
前,9292
在,9241
客,9187
声,9181
酒,9158
子,9137
高,9006
谁,8967
与,8674
欲,8590
多,8581
我,8580
作,8538
玉,8521
东,8501
门,8428
南,8303
落,8299
间,8248
尽,8229
到,8192
开,8182
书,8182
成,8090
西,8035
香,8016
似,7799
可,7663
深,7560
身,7552
飞,7522
道,7493
从,7455
雪,7419
流,7396
烟,7374
应,7333
犹,7247
十,7147
金,7135
莫,7053
须,7012
几,7006
只,6936
黄,6886
地,6870
重,6847
入,6830
能,6815
梦,6787
红,6753
古,6723
出,6716
满,6696
世,6669
平,6666
尘,6640
回,6587
旧,6579
过,6565
向,6416
名,6402
还,6320
分,6308
草,6263
林,6261
光,6250
路,6175
朝,6134
城,6097
同,6085
好,6070
公,6024
游,6010
将,5916
意,5911
笑,5879
色,5879
小,5865
边,5834
却,5718
闲,5692
百,5687
仙,5659
醉,5642
海,5607
当,5606
愁,5592
独,5557
石,5534
情,5517
难,5511
阳,5461
梅,5391
竹,5375
半,5364
衣,5361
溪,5349
马,5297
然,5255
闻,5231
树,5217
思,5207
两,5196
亦,5161
楼,5125
故,5113
眼,5083
曾,5078
外,5072
后,5003
真,4986
晚,4971
问,4916
方,4826
岁,4819
湖,4793
远,4783
龙,4783
少,4779
初,4769
华,4768
枝,4766
吟,4724
非,4687
又,4632
留,4624
气,4618
别,4579
随,4543
阴,4516
五,4501
安,4488
叶,4479
先,4411
松,4370
柳,4350
望,4325
绿,4296
大,4288
北,4270
文,4267
台,4264
野,4216
正,4198
霜,4181
寻,4161
起,4153
传,4108
四,4052
坐,4025
碧,4025
发,3989
物,3932
歌,3909
窗,3909
逢,3905
便,3902
复,3902
堪,3890
数,3888
喜,3886
共,3880
翠,3802
孤,3801
尚,3755
断,3734
残,3731
对,3712
吹,3706
惊,3652
官,3632
语,3622
舟,3617
九,3580
关,3572
轻,3566
影,3537
神,3524
经,3515
晴,3507
晓,3466
说,3458
言,3437
病,3418
休,3410
幽,3409
堂,3390
听,3388
国,3379
才,3374
乐,3366
浮,3324
吾,3324
波,3304
王,3303
若,3292
州,3291
微,3275
二,3273
岂,3272
手,3264
近,3262
翁,3244
亭,3232
照,3231
觉,3229
怜,3219
儿,3205
露,3202
胜,3200
峰,3190
兴,3189
画,3186
疏,3177
宫,3135
园,3124
萧,3123
泉,3091
双,3060
鹤,3055
乡,3050
学,3013
鱼,3008
识,2989
且,2989
终,2988
余,2984
木,2965
凉,2939
久,2938
太,2931
和,2929
离,2928
面,2924
恨,2921
居,2915
送,2914
要,2907
穷,2900
容,2892
临,2884
暮,2883
紫,2880
解,2871
池,2867
丹,2867
著,2864
鸟,2853
芳,2851
常,2850
桃,2849
爱,2842
依,2839
元,2839
许,2834
功,2833
庭,2813
苍,2804
信,2777
使,2763
忆,2753
句,2742
僧,2738
绝,2736
横,2736
斜,2735
船,2724
倚,2710
合,2708
用,2705
杯,2704
灯,2698
苦,2687
汉,2677
曲,2673
节,2671
定,2670
田,2669
怀,2663
首,2645
因,2639
早,2626
星,2625
教,2623
寄,2622
底,2606
动,2605
点,2603
冷,2601
转,2594
虚,2592
连,2574
直,2573
沙,2572
细,2571
待,2566
登,2563
车,2563
河,2560
忽,2556
夫,2540
六,2538
把,2485
村,2481
静,2455
争,2452
通,2439
士,2424
垂,2412
都,2410
带,2404
寂,2397
雁,2395
破,2368
浪,2367
火,2347
但,2324
亲,2318
会,2309
景,2299
立,2299
端,2298
足,2294
忘,2292
论,2277
笔,2275
期,2274
屋,2272
灵,2268
度,2259
肯,2255
岩,2245
力,2241
卧,2234
燕,2221
放,2219
隐,2218
隔,2209
鸣,2196
锦,2191
桥,2190
卷,2185
川,2178
鬓,2168
丝,2150
主,2148
最,2141
散,2130
迟,2120
虽,2118
收,2115
郎,2108
贤,2106
令,2103
往,2097
他,2092
纷,2065
缘,2064
荒,2064
惟,2055
閒,2053
遥,2042
字,2036
乱,2028
遗,2026
陵,2025
易,2024
夕,2023
想,2023
佳,2019
那,2016
消,2010
疑,2007
章,2004
移,2000
取,1998
颜,1996
种,1988
眠,1986
绕,1985
冰,1975
本,1965
昔,1954
伴,1943
载,1925
宜,1923
催,1912
凤,1911
斗,1910
妨,1906
阁,1905
死,1898
观,1890
径,1890
悠,1886
翻,1885
了,1885
群,1883
师,1881
诸,1881
洞,1875
奇,1861
楚,1857
也,1853
至,1851
交,1845
暗,1843
衰,1835
俗,1833
女,1832
试,1830
钓,1819
漫,1817
片,1816
报,1811
化,1809
聊,1800
全,1800
岸,1798
舞,1797
忧,1796
宿,1790
步,1789
杨,1789
藏,1783
机,1783
悲,1782
始,1777
暖,1775
尺,1771
赋,1768
计,1767
乘,1765
朱,1765
枕,1764
霞,1760
之,1753
求,1751
住,1735
骨,1734
英,1723
味,1718
图,1718
珠,1713
泪,1713
题,1710
冠,1706
帝,1701
牛,1699
吴,1698
频,1694
八,1693
圣,1692
啼,1674
渔,1673
记,1672
帘,1671
盘,1667
干,1666
谢,1660
菊,1656
目,1654
迹,1654
蓬,1653
飘,1645
昏,1639
饮,1638
惜,1635
短,1633
所,1632
寺,1623
皆,1620
傍,1614
恩,1612
折,1609
口,1608
禅,1605
鼓,1604
兰,1602
第,1601
薄,1601
苔,1599
药,1598
宁,1596
李,1592
凭,1591
涯,1590
参,1588
音,1587
结,1580
钟,1577
逐,1574
魂,1571
殿,1567
恐,1561
者,1557
食,1549
壁,1544
负,1543
民,1542
鸡,1540
根,1537
读,1534
即,1525
指,1521
谷,1520
户,1519
骑,1518
迎,1517
劳,1516
淡,1514
拂,1509
强,1506
狂,1505
每,1505
床,1504
由,1501
原,1501
邻,1499
贫,1499
孙,1496
茅,1492
偏,1491
辞,1485
泥,1477
携,1473
樽,1466
睡,1466
侯,1465
敢,1465
谈,1462
角,1460
乾,1459
钱,1458
皇,1456
必,1447
借,1444
渠,1428
渐,1424
檐,1417
叹,1416
欢,1412
贵,1403
臣,1402
管,1402
荷,1398
低,1396
愧,1395
秦,1395
急,1391
息,1389
七,1386
异,1383
琴,1379
添,1375
精,1372
银,1368
念,1367
佛,1366
杖,1359
拟,1350
齐,1344
倾,1344
于,1342
尊,1341
阑,1338
土,1337
修,1336
馀,1336
浑,1334
呼,1333
舍,1329
庐,1329
剑,1328
篱,1326
轩,1320
接,1318
洗,1317
偶,1317
罗,1316
封,1316
业,1310
市,1309
桂,1306
摇,1305
妙,1301
持,1301
俱,1299
岭,1298
比,1298
甘,1296
工,1296
肠,1292
桑,1288
茶,1287
唤,1286
沉,1283
茫,1283
鸿,1282
罢,1282
映,1282
幸,1278
及,1276
扶,1274
荣,1274
醒,1272
眉,1272
炉,1270
斋,1267
条,1265
镜,1264
总,1263
遣,1260
伤,1255
迷,1249
约,1248
禁,1247
举,1246
稀,1242
墙,1242
法,1240
遍,1237
莺,1236
侵,1235
虎,1234
政,1233
雄,1233
唯,1230
危,1230
乌,1230
供,1227
怪,1224
守,1222
军,1221
鸥,1215
栏,1212
莲,1211
存,1210
追,1210
德,1207
枯,1207
纵,1203
着,1202
杜,1201
除,1199
素,1198
并,1194
访,1194
洛,1190
倒,1183
羽,1173
淮,1173
潮,1171
暂,1171
耕,1171
任,1170
仍,1167
帆,1166
梁,1166
付,1163
惭,1162
熟,1162
社,1161
弄,1160
征,1153
尔,1152
厌,1150
扫,1150
陈,1150
极,1150
投,1147
穿,1146
宝,1143
栖,1142
塘,1135
儒,1135
引,1128
昨,1124
洲,1124
被,1123
寿,1123
称,1123
愿,1122
丛,1120
兵,1120
勤,1117
沧,1117
渡,1117
周,1116
毛,1116
况,1116
墨,1112
话,1111
壶,1109
买,1108
觅,1107
失,1105
掩,1101
嫌,1098
篇,1096
感,1096
奈,1093
雷,1091
宽,1090
挂,1088
湘,1088
埃,1088
美,1087
浅,1086
京,1086
童,1083
就,1080
吏,1080
轮,1077
拥,1074
闭,1071
胡,1070
采,1069
策,1065
浓,1063
武,1062
於,1061
个,1060
走,1059
阙,1057
命,1050
壮,1047
嗟,1044
以,1043
属,1043
彩,1042
湿,1042
招,1039
房,1036
御,1032
泽,1030
赏,1029
懒,1027
差,1022
府,1022
旗,1021
蝶,1019
旋,1019
室,1019
变,1019
弦,1014
脚,1011
鼎,1011
抱,1005
占,1004
忙,1003
锁,1003
忍,1001
羡,1001
丰,999
瘦,997
张,997
凄,997
饱,996
踏,995
饭,993
井,992
玄,990
富,987
袖,986
友,986
团,984
屏,980
丘,976
理,975
乞,974
压,974
塞,974
圆,973
再,972
境,972
巾,970
盖,970
零,968
猿,967
妆,960
耳,960
历,960
写,958
昼,958
史,957
含,955
丈,951
徒,951
夸,948
蜀,948
漠,947
战,945
竟,945
雾,941
栽,940
午,939
养,938
尝,938
赤,936
层,929
志,928
囊,928
避,921
骚,920
畔,920
咏,915
程,910
烦,909
琼,908
怅,908
沈,906
越,905
倦,903
扬,901
围,901
场,896
津,895
蒲,895
形,891
宵,890
等,887
趁,886
殊,886
霄,885
寥,884
赖,882
冥,882
拜,881
漏,880
良,879
麦,877
蒙,877
桐,877
铁,876
粉,875
陶,871
源,869
界,868
绣,866
退,866
苏,865
父,864
悬,863
象,862
净,856
推,853
宾,852
烛,851
羞,851
怕,850
唐,849
驾,848
阶,848
笼,847
各,845
痕,845
豪,843
浦,841
顾,840
密,839
鹭,836
弟,835
巧,834
襟,832
胸,832
凌,829
晨,825
壑,824
脱,824
觞,822
众,822
院,822
唱,821
内,821
叠,819
坤,819
瑶,818
腰,816
酬,816
凝,815
暑,814
怨,814
攀,814
滴,813
笛,813
驱,812
曹,812
鞭,812
披,812
销,811
调,810
限,808
区,808
郊,803
受,803
势,803
亡,802
际,799
索,798
郡,798
严,797
环,796
荆,796
舆,796
词,795
盛,795
旌,795
席,795
夏,794
秀,794
杀,794
扁,793
染,792
班,792
禽,791
兄,790
省,789
裹,788
杏,788
泛,788
寸,787
扉,784
性,783
郭,782
遇,780
诏,779
纸,778
编,777
竿,776
涧,776
甚,776
背,775
冬,773
农,771
柴,771
鸦,770
广,770
没,770
健,769
造,769
陪,769
艳,768
刘,766
永,765
鸾,764
兼,764
渺,762
途,762
洒,762
次,762
营,760
祖,759
蝉,758
繁,757
磨,756
崖,756
谋,756
堤,756
寞,755
匆,755
嘉,754
换,754
宦,753
费,752
夷,752
棠,750
尧,750
堆,749
毫,749
痴,748
误,744
堕,744
其,742
宇,742
苑,738
馆,737
衔,736
代,735
梢,732
实,730
饥,728
侍,727
打,726
斯,725
忠,724
义,723
珍,722
商,722
宗,722
後,721
羊,720
认,718
积,716
踪,715
阔,714
棹,713
免,712
恶,711
涛,710
浩,710
阿,709
升,708
甲,707
汝,706
欠,706
印,705
佩,704
谩,704
支,702
插,701
幕,701
布,699
莱,698
荡,697
巢,697
烧,696
辈,695
挥,693
护,693
礼,690
止,690
帐,690
冲,689
翩,686
岳,686
略,685
庙,683
裘,683
矣,683
领,683
废,681
累,680
斑,680
遮,679
棋,678
灰,676
劝,674
戏,673
致,673
瑞,672
姓,670
碑,670
樵,668
谓,668
坛,667
利,667
腊,667
顷,667
彻,665
簪,662
剩,662
芦,660
鬼,660
卿,659
喧,656
宴,655
滩,654
列,653
藤,652
烂,651
奏,650
快,650
辰,650
鳞,648
宅,648
料,647
番,647
伯,646
欣,646
殷,646
号,646
量,645
弹,644
恰,643
陌,643
铜,642
沾,641
承,640
黑,637
系,637
絮,637
肥,636
县,634
样,633
贪,632
屈,631
赐,629
晖,629
窥,629
饶,629
驰,627
槛,626
慰,625
果,624
巷,622
雅,622
蕊,620
柏,620
响,617
哀,616
摩,616
卜,615
奉,612
顶,609
藜,608
表,607
覆,606
排,606
尾,605
惆,605
宣,604
固,604
射,603
笋,602
坡,601
否,600
尤,600
哉,600
集,595
丁,593
笙,591
润,591
渊,590
刀,589
薰,588
驿,588
稳,587
盈,586
输,586
座,586
鹿,585
韵,585
而,585
龟,585
进,584
献,584
帽,583
仁,583
恋,583
麻,582
趣,581
荐,581
潜,579
奔,575
潭,573
减,572
潇,572
衫,572
提,570
牙,570
炎,569
祠,569
吐,568
符,566
乍,563
竞,563
萝,561
泊,561
钩,559
简,559
仰,559
抛,558
履,557
剪,557
齿,556
冻,556
庵,556
颇,556
腾,556
颠,556
威,555
般,554
槐,552
击,552
停,551
梧,551
聚,551
筵,548
鲜,547
旅,546
辛,546
瓶,543
绮,540
体,540
霏,540
稻,540
凡,539
榻,539
继,538
母,538
驻,538
辉,538
晋,537
温,535
展,535
迢,534
险,533
衡,532
袍,531
柱,529
亩,529
牵,529
活,528
透,527
特,526
盟,526
澄,524
施,524
扇,524
裳,523
联,523
降,523
达,522
拾,522
融,522
箫,521
腹,519
屡,518
改,517
翰,515
困,515
朋,514
偷,514
迁,512
趋,512
犬,511
蜂,509
善,509
餐,508
姑,508
杳,506
态,505
衮,505
补,504
妇,503
欺,502
敲,501
卖,501
埋,500
徐,500
森,500
庆,499
刻,499
济,495
叟,494
粟,493
福,493
纶,491
品,490
续,490
束,489
伏,489
米,488
延,488
司,488
筇,488
徊,488
鹊,487
芝,487
郁,486
遂,486
敌,486
违,485
服,485
科,484
绵,484
枉,484
裁,483
滨,483
欹,481
切,480
芙,480
助,480
虫,480
疾,479
悟,479
蓑,479
规,478
血,478
乃,478
娥,476
纱,476
鼻,476
岛,476
霁,476
峡,475
涨,475
拙,475
戎,474
筑,474
霭,474
逸,473
请,473
瓦,472
妍,471
雀,471
治,470
酣,469
鉴,468
织,468
鞍,468
掌,467
惯,467
梨,466
祝,466
蛮,465
惠,465
顿,464
蹄,463
陇,461
娇,460
韩,460
渚,460
暇,459
碎,459
夹,459
勿,458
鲁,456
诵,456
触,456
畏,455
标,455
加,455
籍,453
酌,453
羹,453
旬,452
案,452
倍,451
陆,451
汀,451
雕,451
伊,449
拍,447
阵,446
冉,445
益,443
枫,442
左,442
肩,442
杂,441
增,440
虹,440
菜,438
赠,438
羁,437
怯,437
绛,435
蛇,434
啸,434
萦,434
价,433
祗,433
探,433
贺,432
汗,431
姿,431
吞,430
肉,430
瓜,429
舒,429
恼,429
